STOP_ID,STOP,LAT,LON
860,HERMITAGE/PRINCETON,37.592912,-77.46527
865,BROOK/BELLEVUE,37.591123,-77.452576
866,BROOK/CLAREMONT,37.58835,-77.451998
868,BROOK/AVONDALE,37.58622,-77.451578
876,BROOK/LOMBARDY,37.562912,-77.448223
878,LOMBARDY/ADMIRAL,37.560448,-77.450359
879,LOMBARDY/MAGGIE WALKER HIGH SCHOOL,37.557583,-77.453057
885,HERMITAGE/BELLEVUE,37.590751,-77.464298
887,HERMITAGE/CLAREMONT,37.587149,-77.463855
888,HERMITAGE/LABURNUM,37.584384,-77.462729
890,HERMITAGE/MAPLE SHADE LN,37.582045,-77.46228
893,HERMITAGE/OAKDALE,37.579333,-77.46175
898,BOULEVARD/WESTWOOD,37.577848,-77.461925
900,BOULEVARD/ELLEN,37.574309,-77.46391
901,BOULEVARD/GREYHOUND BUS STATION,37.57143,-77.465477
902,BOULEVARD/MOORE,37.566682,-77.468052
905,BOULEVARD/CLAY,37.564603,-77.468924
907,BOULEVARD/LEIGH,37.566472,-77.467948
908,BOULEVARD/THE DIAMOND,37.572233,-77.46477
909,BOULEVARD/ROBINHOOD,37.574593,-77.463483
911,HERMITAGE/LABURNUM,37.584782,-77.462513
912,HERMITAGE/CLAREMONT,37.586889,-77.463416
914,HERMITAGE/BELLEVUE,37.59027,-77.463952
918,BOULEVARD/BROOKLAND PARKWAY,37.577305,-77.461951
920,FORDSON/PARHAM (PARKING LOT),37.619793,-77.556633
921,JACKSON/4TH,37.547223,-77.434992
922,8TH/CLAY,37.542883,-77.433374
926,4TH/JACKSON,37.547557,-77.434395
927,JACKSON/6TH,37.546162,-77.43284
934,MEADOW/NEVADA,37.535147,-77.472852
936,MEADOW/COLORADO,37.537735,-77.472127
937,MEADOW/AMELIA,37.539288,-77.471238
938,MEADOW/WINDER,37.540612,-77.470549
939,MEADOW/BLAIR,37.54185,-77.469825
940,MEADOW/CLAIRBORNE,37.542605,-77.46938
941,MEADOW/LAKEVIEW,37.543345,-77.468855
